flight_no,launch_site,payload,payload_mass,orbit,customer,mission_outcome,booster_version,landing_outcome,date,time
26,CCSFS,ABS-2A,3600,GTO,"ABS
Eutelsat",Success ,F9 FT,Failure,2016-06-15,14:29
27,CCSFS,SpaceX CRS-9,2257,LEO,NASA (CRS),Success ,F9 FT,Success,2016-07-18,04:45
28,CCSFS,JCSAT-16,4600,GTO,SKY Perfect JSAT Group,Success ,F9 FT,Success,2016-08-14,05:26
29,VAFB,Iridium NEXT,9600,Polar,Iridium Communications,Success ,F9 FT,Success,2017-01-14,17:54
30,KSC,SpaceX CRS-10,2490,LEO,NASA (CRS),Success ,F9 FT,Success,2017-02-19,14:39
31,KSC,EchoStar 23,5600,GTO,EchoStar,Success ,F9 FT,No attempt,2017-03-16,06:00
32,KSC,SES-10,5300,GTO,SES,Success,F9 FT♺,Success,2017-03-30,22:27
34,KSC,Inmarsat-5 F4,6070,GTO,Inmarsat,Success ,F9 FT,No attempt,2017-05-15,23:21
35,KSC,SpaceX CRS-11,2708,LEO,NASA (CRS),Success ,F9 FT,Success,2017-06-03,21:07
36,KSC,BulgariaSat-1,3669,GTO,Bulsatcom,Success ,F9 FTB1029.2,Success,2017-06-23,19:10
37,VAFB,Iridium NEXT,9600,LEO,Iridium Communications,Success ,F9 FT,Success,2017-06-25,20:25
38,KSC,Intelsat 35e,6761,GTO,Intelsat,Success ,F9 FT,No attempt,2017-07-05,23:38
39,KSC,SpaceX CRS-12,3310,LEO,NASA (CRS),Success ,F9 B4,Success,2017-08-14,16:31
40,VAFB,Formosat-5,475,SSO,NSPO,Success ,F9 FT,Success,2017-08-24,18:51
41,KSC,Boeing X-37B,4990,LEO,USAF,Success ,F9 B4,Success,2017-09-07,14:00
42,VAFB,Iridium NEXT,9600,Polar,Iridium Communications,Success ,F9 B4,Success,2017-10-09,12:37
43,KSC,SES-11,5200,GTO,"SES S.A.
EchoStar",Success ,F9 FTB1031.2,Success,2017-10-11,22:53:00
44,KSC,Koreasat 5A,3500,GTO,KT Corporation,Success ,F9 B4,Success,2017-10-30,19:34
45,CCSFS,SpaceX CRS-13,2205,LEO,NASA (CRS),Success ,F9 FTB1035.2,Success,2017-12-15,15:36
46,VAFB,Iridium NEXT,9600,Polar,Iridium Communications,Success,F9 FTB1036.2,Controlled,2017-12-23,01:27
48,CCSFS,GovSat-1,4230,GTO,SES,Success,F9 FTB1032.2,Controlled,2018-01-31,21:25
49,VAFB,Paz,2150,SSO,"Hisdesat
exactEarth
SpaceX",Success,F9 FTB1038.2,No attempt,2018-02-22,14:17
50,CCSFS,Hispasat 30W-6,6092,GTO,"Hispasat[277]
NovaWurks",Success,F9 B4,No attempt,2018-03-06,05:33
51,VAFB,Iridium NEXT,9600,Polar,Iridium Communications,Success,F9 B4B1041.2,No attempt,2018-03-30,14:14
52,CCSFS,SpaceX CRS-14,2647,LEO,NASA (CRS),Success,F9 B4B1039.2,No attempt,2018-04-02,20:30
53,CCSFS,Transiting Exoplanet Survey Satellite,362,HEO,NASA (LSP),Success,F9 B4,Success,2018-04-18,22:51
54,KSC,Bangabandhu-1,3600,GTO,Thales-Alenia / BTRC,Success,F9 B5B1046.1,Success,2018-05-11,20:14
55,VAFB,Iridium NEXT,6460,Polar,"Iridium Communications
GFZ • NASA",Success,F9 B4B1043.2,No attempt,2018-05-22,19:47
56,CCSFS,SES-12,5384,GTO,SES,Success,F9 B4B1040.2,No attempt,2018-06-04,04:45
57,CCSFS,SpaceX CRS-15,2697,LEO,NASA (CRS),Success,F9 B4B1045.2,No attempt,2018-06-29,09:42
58,CCSFS,Telstar 19V,7075,GTO,Telesat,Success,F9 B5,Success,2018-07-22,05:50
59,VAFB,Iridium NEXT,9600,Polar,Iridium Communications,Success,F9 B5B1048,Success,2018-07-25,11:39
60,CCSFS,Merah Putih,5800,GTO,Telkom Indonesia,Success,F9 B5B1046.2,Success,2018-08-07,05:18
61,CCSFS,Telstar 18V,7060,GTO,Telesat,Success,F9 B5,Success,2018-09-10,04:45
62,VAFB,SAOCOM 1A,3000,SSO,CONAE,Success,F9 B5B1048.2,Success,2018-10-08,02:22
63,KSC,Es'hail 2,5300,GTO,Es'hailSat,Success,F9 B5B1047.2,Success,2018-11-15,20:46
64,VAFB,SSO-A,4000,SSO,Spaceflight Industries,Success,F9 B5B1046.3,Success,2018-12-03,18:34:05
65,CCSFS,SpaceX CRS-16,2500,LEO,NASA (CRS),Success ,F9 B5,Failure,2018-12-05,18:16
66,CCSFS,GPS III,4400,MEO,USAF,Success,F9 B5,No attempt,2018-12-23,13:51
67,VAFB,Iridium NEXT,9600,Polar,Iridium Communications,Success ,F9 B5B1049.2,Success,2019-01-11,15:31
68,CCSFS,Nusantara Satu,4850,GTO,"PSN
SpaceIL / IAI
Air Force Research",Success ,F9 B5B1048.3,Success,2019-02-22,01:45
69,KSC,Crew Dragon Demo-1,12055,LEO,NASA (CCD),Success ,F9 B5[268],Success,2019-03-02,07:49
70,CCSFS,SpaceX CRS-17,2495,LEO,NASA (CRS),Success ,F9 B5,Success,2019-05-04,06:48
71,CCSFS,Starlink,13620,LEO,SpaceX,Success ,F9 B5B1049.3,Success,2019-05-24,02:30
72,VAFB,RADARSAT Constellation,4200,SSO,Canadian Space Agency (CSA),Success ,F9 B5B1051.2,Success,2019-06-12,14:17
73,CCSFS,SpaceX CRS-18,2268,LEO,NASA (CRS),Success ,F9 B5B1056.2,Success,2019-07-25,22:01
74,CCSFS,AMOS-17,6500,GTO,Spacecom,Success ,F9 B5B1047.3,No attempt,2019-08-06,23:23
75,CCSFS,Starlink,15600,LEO,SpaceX,Success ,F9 B5,Success,2019-11-11,14:56
76,CCSFS,SpaceX CRS-19,2617,LEO,NASA (CRS),Success ,F9 B5,Success,2019-12-05,17:29
77,CCSFS,JCSat-18,6956,GTO,Sky Perfect JSATKacific 1,Success ,F9 B5B1056.3,Success,2019-12-17,00:10
78,CCSFS,Starlink,15600,LEO,SpaceX,Success ,F9 B5,Success,2020-01-07,02:19:21
79,KSC,Crew Dragon in-flight abort test,12050,Sub-orbital,NASA (CTS)[497],Success ,F9 B5,No attempt ,2020-01-19,15:30
80,CCSFS,Starlink,15600,LEO,SpaceX,Success ,F9 B5,Success,2020-01-29,14:07
81,CCSFS,Starlink,15600,LEO,SpaceX,Success ,F9 B5,Failure,2020-02-17,15:05
82,CCSFS,SpaceX CRS-20,1977,LEO,NASA (CRS),Success ,F9 B5,Success,2020-03-07,04:50
83,KSC,Starlink,15600,LEO,SpaceX,Success ,F9 B5,Failure,2020-03-18,12:16
84,KSC,Starlink,15600,LEO,SpaceX,Success ,F9 B5,Success,2020-04-22,19:30
85,KSC,Crew Dragon Demo-2,12530,LEO,NASA (CCDev),Success ,F9 B5,Success,2020-05-30,19:22
86,CCSFS,Starlink,15600,LEO,SpaceX,Success ,F9 B5,Success,2020-06-04,01:25
87,CCSFS,Starlink,15410,LEO,SpaceXPlanet Labs,Success ,F9 B5,Success,2020-06-13,09:21
88,CCSFS,GPS III,4311,MEO,U.S. Space Force[530],Success ,F9 B5,Success,2020-06-30,20:10:46
89,CCSFS,ANASIS-II,5500,GTO,Republic of Korea Army,Success ,F9 B5B1058.2,Success,2020-07-20,21:30
90,KSC,Starlink,14932,LEO,SpaceXSpaceflight Industries (BlackSky),Success ,F9 B5,Success,2020-08-07,05:12
91,CCSFS,Starlink,15440,LEO,SpaceXPlanet Labs,Success ,F9 B5B1049.6,Success,2020-08-18,14:31
92,CCSFS,SAOCOM 1B,3130,SSO,CONAEPlanetIQTyvak,Success ,F9 B5,Success,2020-08-30,23:18
93,KSC,Starlink,15600,LEO,SpaceX,Success ,F9 B5B1060.2,Success,2020-09-03,12:46:14
94,KSC,Starlink,15600,LEO,SpaceX,Success ,F9 B5B1058.3,Success,2020-10-06,11:29:34
95,KSC,Starlink,15600,LEO,SpaceX,Success ,F9 B5B1051.6,Success,2020-10-18,12:25:57
96,CCSFS,Starlink,15600,LEO,SpaceX,Success ,F9 B5,Success,2020-10-24,15:31:34
97,CCSFS,GPS III,4311,MEO,USSF,Success ,F9 B5,Success,2020-11-05,23:24:23
98,KSC,Crew-1,12500,LEO,NASA (CCP)[497],Success ,F9 B5,Success,2020-11-16,00:27
99,VAFB,Sentinel-6 Michael Freilich (Jason-CS A),1192,LEO,NASA / NOAA / ESA / EUMETSAT,Success ,F9 B5,Success,2020-11-21,17:17:08
100,CCSFS,Starlink,15600,LEO,SpaceX,Success ,F9 B5 ♺,Success,2020-11-25,02:13
101,KSC,SpaceX CRS-21,2972,LEO,NASA (CRS),Success ,F9 B5 ♺,Success,2020-12-06,16:17:08
102,CCSFS,SXM-7,7000,GTO,Sirius XM,Success ,F9 B5 ♺,Success,2020-12-13,17:30:00
104,CCSFS,Türksat 5A,3500,GTO,Türksat,Success ,F9 B5,Success,2021-01-08,02:15
105,KSC,Starlink,15600,LEO,SpaceX,Success ,F9 B5B1051.8,Success,2021-01-20,13:02
106,CCSFS,Transporter-1,5000,SSO,Various,Success ,F9 B5B1058.5,Success,2021-01-24,15:00
107,CCSFS,Starlink,15600,LEO,SpaceX,Success ,F9 B5 ♺,Success,2021-02-04,06:19
108,CCSFS,Starlink,15600,LEO,SpaceX,Success ,F9 B5 ♺,Failure,2021-02-16,03:59:37
109,KSC,Starlink,15600,LEO,SpaceX,Success ,F9 B5 ♺,Success,2021-03-04,08:24
110,CCSFS,Starlink,15600,LEO,SpaceX,Success ,F9 B5 ♺,Success,2021-03-11,08:13:29
111,KSC,Starlink,15600,LEO,SpaceX,Success ,F9 B5 ♺,Success,2021-03-14,10:01
112,CCSFS,Starlink,15600,LEO,SpaceX,Success ,F9 B5B1060.6,Success,2021-03-24,08:28
113,CCSFS,Starlink,15600,LEO,SpaceX,Success ,F9 B5 ♺,Success,2021-04-07,16:34
114,KSC,Crew-2,13000,LEO,NASA (CTS)[497],Success ,F9 B5B1061.2,Success,2021-04-23,9:49
115,CCSFS,Starlink,15600,LEO,SpaceX,Success ,F9 B5B1060.7,Success,2021-04-29,03:44
116,KSC,Starlink,15600,LEO,SpaceX,Success ,F9 B5B1049.9,Success,2021-05-04,19:01
117,CCSFS,Starlink,15600,LEO,SpaceX,Success ,F9 B5B1051.10,Success,2021-05-09,06:42
118,KSC,Starlink,14000,LEO,SpaceX Capella Space and Tyvak,Success ,F9 B5B1058.8,Success,2021-05-15,22:56
119,CCSFS,Starlink,15600,LEO,SpaceX,Success ,F9 B5B1063.2,Success,2021-05-26,18:59
120,KSC,SpaceX CRS-22,3328,LEO,NASA (CRS),Success ,F9 B5B1067.1,Success,2021-06-03,17:29
121,CCSFS,SXM-8,7000,GTO,Sirius XM,Success ,F9 B5,Success,2021-06-06,04:26
